,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
0,Veggie pasta bake,"['½ x 170g loaf of garlic bread', 'olive oil', '2 cloves of garlic', '2 leeks', '1 bunch of fresh basil , (30g)', '2 teaspoons dried oregano', '3 x 400g tins of plum tomatoes', '500 g dried pasta , such as orecchiette, conchiglie or gemelli', '50 g Parmesan cheese , plus extra to serve', '8 cubes of frozen spinach']",8,Not too tricky,529.0,14.8,22.9,98.8,1 hour,https://www.jamieoliver.com/recipes/pasta-recipes/veggie-pasta-bake/,loaf garlic bread olive oil clove garlic leek bunch fresh basil dried oregano tin plum tomato dried pasta such a conchiglie or gemelli parmesan cheese plus extra to serve cube frozen spinach,loaf garlic garlic leek basil oregano tomato pasta conchiglie gemelli parmesan cheese spinach
2,Garlic chicken,"['4 cloves of garlic', '2 x 150g skinless free-range chicken breasts', '½ x 700g jar of chickpeas', '250 g baby spinach', '1 heaped teaspoon sumac']",2,Not too tricky,406.0,13.3,48.8,23.2,18 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/garlic-chicken/,clove garlic skinless free range chicken breast jar chickpea baby spinach sumac,garlic chicken jar chickpea spinach sumac
3,Chicken & chips,"['1kg red-skinned potatoes', '2 onions', '1 bunch of oregano (20g)', '2 lemons', '4 x 250g free-range chicken legs']",4,Not too tricky,615.0,30.2,38.0,50.8,1 hour 18 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-chips/,red skinned potato onion bunch oregano lemon free range chicken leg,skinned potato onion oregano lemon chicken
4,Sweet pea orecchiette,"['600g potatoes', '1 bunch of spring onions', '320g frozen peas', '300g dried orecchiette', '80g pecorino cheese, plus extra to serve']",4,Not too tricky,577.0,15.9,21.9,92.4,30 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/sweet-pea-orecchiette/,potato bunch spring onion frozen pea dried orecchiette pecorino plus extra to serve,potato onion pea orecchiette pecorino
5,Island salad,"['1 cucumber', '2 pittas', '1 x 415g tin of sliced peaches in juice', '120g mixed salad leaves', '60g halloumi cheese']",2,Not too tricky,361.0,15.2,15.9,39.8,15 minutes,https://www.jamieoliver.com/recipes/fruit-recipes/island-salad/,cucumber pitta tin sliced peach juice mixed salad leaf halloumi cheese,cucumber pitta peach halloumi cheese
6,Herby steak & crispy potatoes,"['500 g red-skinned potatoes', '1 x 300g higher-welfare sirloin steak', '4 teaspoons fresh green pesto , or pistou', '6 ripe medium mixed-colour tomatoes', '20 g shelled unsalted pistachios']",2,Not too tricky,735.0,42.1,40.0,51.8,30 minutes,https://www.jamieoliver.com/recipes/steak-recipes/herby-steak-crispy-potatoes/,red skinned potato higher welfare sirloin steak fresh green pesto or pistou ripe mixed colour tomato shelled unsalted pistachio,skinned potato sirloin pesto pistou tomato pistachio
7,Lemon-tzatziki chicken,"['1 x 1.5kg whole free-range chicken', '2 x 200g tubs of tzatziki', '2 lemons', '4 mixed-colour onions', '300 g basmati rice']",4,Not too tricky,682.0,15.6,61.4,79.0,2 hours plus marinating,https://www.jamieoliver.com/recipes/chicken-recipes/lemon-tzatziki-chicken/,free range chicken tub tzatziki lemon mixed colour onion basmati rice,chicken tub tzatziki lemon onion rice
8,Minty courgette tart,"['1.5 kg courgettes', '1 heaped teaspoon dried mint', '320 g sheet of ready-rolled puff pastry (cold)', '6 teaspoons black olive tapenade', ""80 g goat's cheese""]",4 to 6,Not too tricky,584.0,41.8,15.9,50.9,1 hour 35 minutes,https://www.jamieoliver.com/recipes/vegetable-recipes/minty-courgette-tart/,courgette dried mint sheet ready rolled puff pastry black olive tapenade cheese,courgette mint sheet ready rolled puff tapenade cheese
10,Sweet potato fishcakes,"['500 g potatoes', '500 g sweet potatoes', '2 red peppers', 'extra virgin olive oil', '2 teaspoons chipotle Tabasco sauce', '500 g white fish fillets from sustainable sources , skin off, pin-boned', 'olive oil', '1 cucumber', '1 iceburg lettuce', '1 heaped teaspoon English mustard', '4 heaped tablespoons natural yoghurt', '1 tablespoon white wine vinegar', '40 g feta cheese', '½ a bunch of fresh mint , (15g)', '1 lemon']",4,Not too tricky,423.0,8.6,32.5,56.9,1 hour 10 minutes,https://www.jamieoliver.com/recipes/fish-recipes/sweet-potato-fishcakes/,potato sweet potato red pepper extra virgin olive oil chipotle tabasco sauce white fish fillet from sustainable source skin pin boned olive oil cucumber iceburg lettuce english mustard natural yoghurt white wine vinegar feta cheese a bunch fresh mint lemon,potato potato chipotle tabasco boned cucumber iceburg lettuce mustard yoghurt wine feta cheese mint lemon
11,Spring chicken stew,"['olive oil', '2 rashers of higher-welfare smoked streaky bacon', '2 sprigs of fresh rosemary', '2 onions', '2 carrots', '400 g new potatoes', '100 g pearl barley', '1 heaped tablespoon plain wholemeal flour', '500 ml organic chicken stock', '500 ml semi-skimmed milk', '2 courgettes', '1 bunch of asparagus , (350g)', '200 g green beans', '4 x 120 g free-range skinless chicken breasts', '1 tablespoon mint sauce']",4,Not too tricky,549.0,12.5,48.2,64.8,1 hour 10 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-stew/,olive oil rasher higher welfare smoked streaky bacon sprig fresh rosemary onion carrot new potato pearl barley plain wholemeal flour organic chicken stock semi skimmed milk courgette bunch asparagus green bean free range skinless chicken breast mint sauce,bacon rosemary onion carrot potato pearl barley chicken semi skimmed milk courgette chicken mint
